FemaleLaborParticipationRatio,GDPPerCapita,CountryName,FemaletoMaleLaborParticipationRatio2017,GDPPerCapita2017
63.0444038,5430.87421,North Macedonia,63.0444038,5430.87421
75.75536,830.018367,Mali,75.75536,830.018367
66.4675174,28091.8616,Malta,66.4675174,28091.8616
61.6157724,1291.54241,Myanmar,61.6157724,1291.54241
75.4076846,7784.08791,Montenegro,75.4076846,7784.08791
79.9038645,3669.41754,Mongolia,79.9038645,3669.41754
97.736979,461.415094,Mozambique,97.736979,461.415094
45.3625865,1578.11417,Mauritania,45.3625865,1578.11417
61.5668247,10484.9084,Mauritius,61.5668247,10484.9084
89.2680608,356.717573,Malawi,89.2680608,356.717573
65.6492458,10259.1818,Malaysia,65.6492458,10259.1818
85.8781703,5303.30917,Namibia,85.8781703,5303.30917
72.4781916,517.97503,Niger,72.4781916,517.97503
82.7856625,1968.56474,Nigeria,82.7856625,1968.56474
59.8035013,2159.15787,Nicaragua,59.8035013,2159.15787
83.9182749,48675.2223,Netherlands,83.9182749,48675.2223
90.0888009,75496.7541,Norway,90.0888009,75496.7541
96.9208934,911.444267,Nepal,96.9208934,911.444267
85.3068839,42849.4263,New Zealand,85.3068839,42849.4263
34.8791161,15130.5207,Oman,34.8791161,15130.5207
27.4503788,1464.99331,Pakistan,27.4503788,1464.99331
64.5240494,15150.3456,Panama,64.5240494,15150.3456
82.1219123,6710.50803,Peru,82.1219123,6710.50803
61.3446938,3123.23423,Philippines,61.3446938,3123.23423
96.7581578,2695.25188,Papua New Guinea,96.7581578,2695.25188
74.0765966,13864.6818,Poland,74.0765966,13864.6818
65.4785774,31108.7528,Puerto Rico,65.4785774,31108.7528
83.6674124,21490.4299,Portugal,83.6674124,21490.4299
67.2208453,5680.58077,Paraguay,67.2208453,5680.58077
24.9046476,3620.36049,West Bank and Gaza,24.9046476,3620.36049
60.7862027,59124.9324,Qatar,60.7862027,59124.9324
70.9405376,10807.7954,Romania,70.9405376,10807.7954
77.7693258,10720.3326,Russian Federation,77.7693258,10720.3326
100.352861,772.318472,Rwanda,100.352861,772.318472
28.6871485,20803.7459,Saudi Arabia,28.6871485,20803.7459
42.1414394,1111.86845,Sudan,42.1414394,1111.86845
60.3760852,1361.69959,Senegal,60.3760852,1361.69959
78.6720849,60913.7453,Singapore,78.6720849,60913.7453
96.0472227,2332.81487,Solomon Islands,96.0472227,2332.81487
97.4502457,499.380708,Sierra Leone,97.4502457,499.380708
59.8038322,3910.25719,El Salvador,59.8038322,3910.25719
75.5447552,6292.54363,Serbia,75.5447552,6292.54363
55.3289867,1813.78324,São Tomé and Principe,55.3289867,1813.78324
60.2023677,5637.51495,Suriname,60.2023677,5637.51495
77.9756858,17556.6008,Slovak Republic,77.9756858,17556.6008
84.7276959,23512.8173,Slovenia,84.7276959,23512.8173
90.1201526,53791.5087,Sweden,90.1201526,53791.5087
85.1519224,3914.61325,Eswatini,85.1519224,3914.61325
82.0760951,665.948353,Chad,82.0760951,665.948353
96.5117326,626.091528,Togo,96.5117326,626.091528
77.9311904,6592.9149,Thailand,77.9311904,6592.9149
60.0167856,806.041573,Tajikistan,60.0167856,806.041573
65.8552167,6587.09032,Turkmenistan,65.8552167,6587.09032
84.9139562,1286.40575,Timor-Leste,84.9139562,1286.40575
61.448941,4513.60953,Tonga,61.448941,4513.60953
70.9531587,16238.1932,Trinidad and Tobago,70.9531587,16238.1932
34.5877039,3481.22874,Tunisia,34.5877039,3481.22874
46.197192,10591.4744,Turkey,46.197192,10591.4744
91.0567178,1004.84112,Tanzania,91.0567178,1004.84112
89.6886454,747.196907,Uganda,89.6886454,747.196907
74.1588269,2640.67568,Ukraine,74.1588269,2640.67568
75.4317143,17322.1474,Uruguay,75.4317143,17322.1474
82.2425689,60062.2223,United States,82.2425689,60062.2223
67.2918393,1826.56692,Uzbekistan,67.2918393,1826.56692
69.7516727,7212.96018,St. Vincent and the Grenadines,69.7516727,7212.96018
92.4145986,35938.0244,Virgin Islands (U.S.),92.4145986,35938.0244
88.1816865,2365.62167,Vietnam,88.1816865,2365.62167
77.2977953,3082.35632,Vanuatu,77.2977953,3082.35632
56.2571773,4259.765,Samoa,56.2571773,4259.765
8.59248135,960.528534,"Yemen, Rep.",8.59248135,960.528534
78.5638508,6132.47984,South Africa,78.5638508,6132.47984
88.313809,1534.86675,Zambia,88.313809,1534.86675
87.4008016,1548.17006,Zimbabwe,87.4008016,1548.17006
